sequenceNo;name;title;menu;frame;bundle;active;uuid
20;SysJobCtx_UI;Job context;;net.nan21.dnet.module.ad.system.frame.SysJobCtx_UI;nan21.dnet.module.ad.ui.extjs;true;1D6D29C7-8A3E-47B7-A7BD-6BC0B4419F6A
15;SysJob_UI;System components: Jobs;;net.nan21.dnet.module.ad.system.frame.SysJob_UI;nan21.dnet.module.ad.ui.extjs;true;EB0E4BFA-470F-4FA5-BFB4-B35B13A94919
20;SysParam_UI;System parameters;;net.nan21.dnet.module.ad.system.frame.SysParam_UI;nan21.dnet.module.ad.ui.extjs;true;08323553-2FAF-4FE2-9DE9-FFC5B699E6F8
10;SysTimer_UI;Timers;;net.nan21.dnet.module.ad.system.frame.SysTimer_UI;nan21.dnet.module.ad.ui.extjs;true;AEA87418-F94F-48CE-96D5-9F73F0E331E4
10;TaxCategories_UI;Taxe categories;;net.nan21.dnet.module.md.base.tax.frame.TaxCategories_UI;nan21.dnet.module.md.ui.extjs;true;A9353D57-7FED-4C54-91C9-11F20CA637FC
20;Tax_UI;Taxes;;net.nan21.dnet.module.md.base.tax.frame.Tax_UI;nan21.dnet.module.md.ui.extjs;true;0CF9E27E-C0EF-4C50-89CD-212BBF0ACE7C
10;TxBaseData_UI;Payment base data;;net.nan21.dnet.module.md.base.tx.frame.TxBaseData_UI;nan21.dnet.module.md.ui.extjs;true;36CCD9E2-7032-4056-BE0B-D6D4210B83AF
10;TxDocType_UI;Transactional document types;;net.nan21.dnet.module.md.base.tx.frame.TxDocType_UI;nan21.dnet.module.md.ui.extjs;true;CE76D71C-DDF7-4547-A1C6-EEFCE4D71422
50;UiViewState_UI;View states;;net.nan21.dnet.module.ad.system.frame.UiViewState_UI;nan21.dnet.module.ad.ui.extjs;true;1DF3BB1A-03ED-4DA6-A4EE-F4F35EAF127E
40;UomConversion_UI;Unit of measure conversions;;net.nan21.dnet.module.bd.uom.frame.UomConversion_UI;nan21.dnet.module.bd.ui.extjs;true;CA3C2A77-38FA-4C0D-818F-60D45922AC7A
30;UomMD_UI;Unit of measure with details;;net.nan21.dnet.module.bd.uom.frame.UomMD_UI;nan21.dnet.module.bd.ui.extjs;true;422D8EA2-4AA6-4A5B-B419-B7DE835ED02C
20;Uoms_UI;Units of measure;;net.nan21.dnet.module.bd.uom.frame.Uoms_UI;nan21.dnet.module.bd.ui.extjs;true;F8FD8094-7406-4390-BB9C-2438E920D9AF
10;UomType_UI;Unit of measure types;;net.nan21.dnet.module.bd.uom.frame.UomType_UI;nan21.dnet.module.bd.ui.extjs;true;A4FA46BA-74C5-4C1B-938A-24E2B0339AD4
20;UserGroups_UI;User groups;;net.nan21.dnet.module.ad.usr.frame.UserGroups_UI;nan21.dnet.module.ad.ui.extjs;true;19088C5D-BDEB-42DE-9728-750D42D605BA
10;Users_UI;Users;;net.nan21.dnet.module.ad.usr.frame.Users_UI;nan21.dnet.module.ad.ui.extjs;true;30834776-1AA5-446B-A092-6216E8C87E07
